year,month,month_name,season,group,district,population,num_businesses,daily_hours,weekly_hours,monthly_hours,household_loss_npr,business_loss_npr,total_household_loss_npr,total_business_loss_npr,year_month
2012,1,January,Winter,Group 3,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-01
2012,1,January,Winter,Group 3,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-01
2012,1,January,Winter,Group 4,Kathmandu,1500000,45000,16.22,113.5,486.6,26763.0,184908.0,10036125000.0,8320860000.0,2012-01
2012,1,January,Winter,Group 4,Lalitpur,300000,12000,18.0,126.0,540.0,27000.0,151200.0,2025000000.0,1814400000.0,2012-01
2012,1,January,Winter,Group 4,Bhaktapur,85000,8000,18.0,126.0,540.0,24300.0,118800.0,516375000.0,950400000.0,2012-01
2012,1,January,Winter,Group 4,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 4,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 4,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-01
2012,1,January,Winter,Group 4,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-01
2012,1,January,Winter,Group 4,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-01
2012,1,January,Winter,Group 4,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-01
2012,1,January,Winter,Group 4,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-01
2012,1,January,Winter,Group 5,Kathmandu,1500000,45000,17.16,120.1,514.8,28314.0,195624.0,10617750000.0,8803080000.0,2012-01
2012,1,January,Winter,Group 5,Lalitpur,300000,12000,17.88,125.2,536.4,26820.0,150192.0,2011500000.0,1802304000.0,2012-01
2012,1,January,Winter,Group 5,Bhaktapur,85000,8000,18.0,126.0,540.0,24300.0,118800.0,516375000.0,950400000.0,2012-01
2012,1,January,Winter,Group 5,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 5,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 5,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-01
2012,1,January,Winter,Group 5,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-01
2012,1,January,Winter,Group 5,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-01
2012,1,January,Winter,Group 5,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-01
2012,1,January,Winter,Group 5,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-01
2012,1,January,Winter,Group 6,Kathmandu,1500000,45000,17.39,121.7,521.7,28694.0,198246.0,10760250000.0,8921070000.0,2012-01
2012,1,January,Winter,Group 6,Lalitpur,300000,12000,18.0,126.0,540.0,27000.0,151200.0,2025000000.0,1814400000.0,2012-01
2012,1,January,Winter,Group 6,Bhaktapur,85000,8000,18.0,126.0,540.0,24300.0,118800.0,516375000.0,950400000.0,2012-01
2012,1,January,Winter,Group 6,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 6,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 6,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-01
2012,1,January,Winter,Group 6,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-01
2012,1,January,Winter,Group 6,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-01
2012,1,January,Winter,Group 6,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-01
2012,1,January,Winter,Group 6,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-01
2012,1,January,Winter,Group 7,Kathmandu,1500000,45000,17.37,121.6,521.1,28660.0,198018.0,10747500000.0,8910810000.0,2012-01
2012,1,January,Winter,Group 7,Lalitpur,300000,12000,18.0,126.0,540.0,27000.0,151200.0,2025000000.0,1814400000.0,2012-01
2012,1,January,Winter,Group 7,Bhaktapur,85000,8000,18.0,126.0,540.0,24300.0,118800.0,516375000.0,950400000.0,2012-01
2012,1,January,Winter,Group 7,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 7,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 7,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-01
2012,1,January,Winter,Group 7,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-01
2012,1,January,Winter,Group 7,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-01
2012,1,January,Winter,Group 7,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-01
2012,1,January,Winter,Group 7,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-01
2012,2,February,Winter,Group 1,Kathmandu,1500000,45000,15.01,105.1,450.3,24766.0,171114.0,9287250000.0,7700130000.0,2012-02
2012,2,February,Winter,Group 1,Lalitpur,300000,12000,16.43,115.0,492.9,24645.0,138012.0,1848375000.0,1656144000.0,2012-02
2012,2,February,Winter,Group 1,Bhaktapur,85000,8000,16.74,117.2,502.2,22599.0,110484.0,480228750.0,883872000.0,2012-02
2012,2,February,Winter,Group 1,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 1,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 1,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-02
2012,2,February,Winter,Group 1,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-02
2012,2,February,Winter,Group 1,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-02
2012,2,February,Winter,Group 1,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-02
2012,2,February,Winter,Group 1,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-02
2012,2,February,Winter,Group 2,Kathmandu,1500000,45000,15.38,107.7,461.4,25377.0,175332.0,9516375000.0,7889940000.0,2012-02
2012,2,February,Winter,Group 2,Lalitpur,300000,12000,16.55,115.9,496.5,24825.0,139020.0,1861875000.0,1668240000.0,2012-02
2012,2,February,Winter,Group 2,Bhaktapur,85000,8000,17.95,125.6,538.5,24232.0,118470.0,514930000.0,947760000.0,2012-02
2012,2,February,Winter,Group 2,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 2,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 2,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-02
2012,2,February,Winter,Group 2,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-02
2012,2,February,Winter,Group 2,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-02
2012,2,February,Winter,Group 2,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-02
2012,2,February,Winter,Group 2,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-02
2012,2,February,Winter,Group 3,Kathmandu,1500000,45000,16.1,112.7,483.0,26565.0,183540.0,9961875000.0,8259300000.0,2012-02
2012,2,February,Winter,Group 3,Lalitpur,300000,12000,17.4,121.8,522.0,26100.0,146160.0,1957500000.0,1753920000.0,2012-02
2012,2,February,Winter,Group 3,Bhaktapur,85000,8000,17.67,123.7,530.1,23854.0,116622.0,506897500.0,932976000.0,2012-02
2012,2,February,Winter,Group 3,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 3,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 3,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-02
2012,2,February,Winter,Group 3,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-02
2012,2,February,Winter,Group 3,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-02
2012,2,February,Winter,Group 3,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-02
2012,2,February,Winter,Group 3,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-02
2012,2,February,Winter,Group 4,Kathmandu,1500000,45000,15.9,111.3,477.0,26235.0,181260.0,9838125000.0,8156700000.0,2012-02
2012,2,February,Winter,Group 4,Lalitpur,300000,12000,17.24,120.7,517.2,25860.0,144816.0,1939500000.0,1737792000.0,2012-02
2012,2,February,Winter,Group 4,Bhaktapur,85000,8000,18.0,126.0,540.0,24300.0,118800.0,516375000.0,950400000.0,2012-02
2012,2,February,Winter,Group 4,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 4,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 4,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-02
2012,2,February,Winter,Group 4,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-02
2012,2,February,Winter,Group 4,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-02
2012,2,February,Winter,Group 4,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-02
2012,2,February,Winter,Group 4,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-02
2012,2,February,Winter,Group 5,Kathmandu,1500000,45000,16.1,112.7,483.0,26565.0,183540.0,9961875000.0,8259300000.0,2012-02
2012,2,February,Winter,Group 5,Lalitpur,300000,12000,17.8,124.6,534.0,26700.0,149520.0,2002500000.0,1794240000.0,2012-02
2012,2,February,Winter,Group 5,Bhaktapur,85000,8000,18.0,126.0,540.0,24300.0,118800.0,516375000.0,950400000.0,2012-02
2012,2,February,Winter,Group 5,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 5,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 5,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-02
2012,2,February,Winter,Group 5,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-02
2012,2,February,Winter,Group 5,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-02
2012,2,February,Winter,Group 5,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-02
2012,2,February,Winter,Group 5,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-02
2012,2,February,Winter,Group 6,Kathmandu,1500000,45000,17.58,123.1,527.4,29007.0,200412.0,10877625000.0,9018540000.0,2012-02
2012,2,February,Winter,Group 6,Lalitpur,300000,12000,17.85,125.0,535.5,26775.0,149940.0,2008125000.0,1799280000.0,2012-02
2012,2,February,Winter,Group 6,Bhaktapur,85000,8000,18.0,126.0,540.0,24300.0,118800.0,516375000.0,950400000.0,2012-02
2012,2,February,Winter,Group 6,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 6,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 6,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-02
2012,2,February,Winter,Group 6,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-02
2012,2,February,Winter,Group 6,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-02
2012,2,February,Winter,Group 6,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-02
2012,2,February,Winter,Group 6,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-02
2012,2,February,Winter,Group 7,Kathmandu,1500000,45000,16.94,118.6,508.2,27951.0,193116.0,10481625000.0,8690220000.0,2012-02
2012,2,February,Winter,Group 7,Lalitpur,300000,12000,18.0,126.0,540.0,27000.0,151200.0,2025000000.0,1814400000.0,2012-02
2012,2,February,Winter,Group 7,Bhaktapur,85000,8000,18.0,126.0,540.0,24300.0,118800.0,516375000.0,950400000.0,2012-02
2012,2,February,Winter,Group 7,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 7,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-02
2012,2,February,Winter,Group 7,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-02
2012,2,February,Winter,Group 7,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-02
2012,2,February,Winter,Group 7,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-02
2012,2,February,Winter,Group 7,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-02
2012,2,February,Winter,Group 7,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-02
2012,3,March,Spring,Group 1,Kathmandu,1500000,45000,11.98,83.9,359.4,19767.0,136572.0,7412625000.0,6145740000.0,2012-03
2012,3,March,Spring,Group 1,Lalitpur,300000,12000,13.18,92.3,395.4,19770.0,110712.0,1482750000.0,1328544000.0,2012-03
2012,3,March,Spring,Group 1,Bhaktapur,85000,8000,12.79,89.5,383.7,17266.0,84414.0,366902500.0,675312000.0,2012-03
2012,3,March,Spring,Group 1,Pokhara,450000,15000,15.04,105.3,451.2,22560.0,135360.0,2538000000.0,2030400000.0,2012-03
2012,3,March,Spring,Group 1,Chitwan,580000,18000,15.84,110.9,475.2,19958.0,118800.0,2893910000.0,2138400000.0,2012-03
2012,3,March,Spring,Group 1,Biratnagar,240000,11000,16.82,117.7,504.6,24221.0,136242.0,1453260000.0,1498662000.0,2012-03
2012,3,March,Spring,Group 1,Birgunj,190000,9500,16.79,117.5,503.7,23170.0,130962.0,1100575000.0,1244139000.0,2012-03
2012,3,March,Spring,Group 1,Butwal,135000,7000,17.52,122.6,525.6,21024.0,110376.0,709560000.0,772632000.0,2012-03
2012,3,March,Spring,Group 1,Dharan,130000,6500,17.18,120.3,515.4,22678.0,123696.0,737035000.0,804024000.0,2012-03
2012,3,March,Spring,Group 1,Hetauda,95000,5000,17.71,124.0,531.3,20189.0,106260.0,479488750.0,531300000.0,2012-03
2012,3,March,Spring,Group 2,Kathmandu,1500000,45000,12.59,88.1,377.7,20774.0,143526.0,7790250000.0,6458670000.0,2012-03
2012,3,March,Spring,Group 2,Lalitpur,300000,12000,13.4,93.8,402.0,20100.0,112560.0,1507500000.0,1350720000.0,2012-03
2012,3,March,Spring,Group 2,Bhaktapur,85000,8000,13.76,96.3,412.8,18576.0,90816.0,394740000.0,726528000.0,2012-03
2012,3,March,Spring,Group 2,Pokhara,450000,15000,15.66,109.6,469.8,23490.0,140940.0,2642625000.0,2114100000.0,2012-03
2012,3,March,Spring,Group 2,Chitwan,580000,18000,16.46,115.2,493.8,20740.0,123450.0,3007300000.0,2222100000.0,2012-03
2012,3,March,Spring,Group 2,Biratnagar,240000,11000,16.82,117.7,504.6,24221.0,136242.0,1453260000.0,1498662000.0,2012-03
2012,3,March,Spring,Group 2,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-03
2012,3,March,Spring,Group 2,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-03
2012,3,March,Spring,Group 2,Dharan,130000,6500,17.1,119.7,513.0,22572.0,123120.0,733590000.0,800280000.0,2012-03
2012,3,March,Spring,Group 2,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-03
2012,3,March,Spring,Group 3,Kathmandu,1500000,45000,12.7,88.9,381.0,20955.0,144780.0,7858125000.0,6515100000.0,2012-03
2012,3,March,Spring,Group 3,Lalitpur,300000,12000,14.17,99.2,425.1,21255.0,119028.0,1594125000.0,1428336000.0,2012-03
2012,3,March,Spring,Group 3,Bhaktapur,85000,8000,15.09,105.6,452.7,20372.0,99594.0,432905000.0,796752000.0,2012-03
2012,3,March,Spring,Group 3,Pokhara,450000,15000,15.84,110.9,475.2,23760.0,142560.0,2673000000.0,2138400000.0,2012-03
2012,3,March,Spring,Group 3,Chitwan,580000,18000,17.33,121.3,519.9,21836.0,129975.0,3166220000.0,2339550000.0,2012-03
2012,3,March,Spring,Group 3,Biratnagar,240000,11000,17.88,125.2,536.4,25747.0,144828.0,1544820000.0,1593108000.0,2012-03
2012,3,March,Spring,Group 3,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-03
2012,3,March,Spring,Group 3,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-03
2012,3,March,Spring,Group 3,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-03
2012,3,March,Spring,Group 3,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-03
2012,3,March,Spring,Group 4,Kathmandu,1500000,45000,13.13,91.9,393.9,21664.0,149682.0,8124000000.0,6735690000.0,2012-03
2012,3,March,Spring,Group 4,Lalitpur,300000,12000,13.93,97.5,417.9,20895.0,117012.0,1567125000.0,1404144000.0,2012-03
2012,3,March,Spring,Group 4,Bhaktapur,85000,8000,15.0,105.0,450.0,20250.0,99000.0,430312500.0,792000000.0,2012-03
2012,3,March,Spring,Group 4,Pokhara,450000,15000,16.71,117.0,501.3,25065.0,150390.0,2819812500.0,2255850000.0,2012-03
2012,3,March,Spring,Group 4,Chitwan,580000,18000,17.45,122.1,523.5,21987.0,130875.0,3188115000.0,2355750000.0,2012-03
2012,3,March,Spring,Group 4,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-03
2012,3,March,Spring,Group 4,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-03
2012,3,March,Spring,Group 4,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-03
2012,3,March,Spring,Group 4,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-03
2012,3,March,Spring,Group 4,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-03
2012,3,March,Spring,Group 5,Kathmandu,1500000,45000,14.14,99.0,424.2,23331.0,161196.0,8749125000.0,7253820000.0,2012-03
2012,3,March,Spring,Group 5,Lalitpur,300000,12000,14.32,100.2,429.6,21480.0,120288.0,1611000000.0,1443456000.0,2012-03
2012,3,March,Spring,Group 5,Bhaktapur,85000,8000,15.0,105.0,450.0,20250.0,99000.0,430312500.0,792000000.0,2012-03
2012,3,March,Spring,Group 5,Pokhara,450000,15000,17.16,120.1,514.8,25740.0,154440.0,2895750000.0,2316600000.0,2012-03
2012,3,March,Spring,Group 5,Chitwan,580000,18000,17.65,123.5,529.5,22239.0,132375.0,3224655000.0,2382750000.0,2012-03
2012,3,March,Spring,Group 5,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-03
2012,3,March,Spring,Group 5,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-03
2012,3,March,Spring,Group 5,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-03
2012,3,March,Spring,Group 5,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-03
2012,3,March,Spring,Group 5,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-03
2012,3,March,Spring,Group 6,Kathmandu,1500000,45000,14.11,98.8,423.3,23282.0,160854.0,8730750000.0,7238430000.0,2012-03
2012,3,March,Spring,Group 6,Lalitpur,300000,12000,15.4,107.8,462.0,23100.0,129360.0,1732500000.0,1552320000.0,2012-03
2012,3,March,Spring,Group 6,Bhaktapur,85000,8000,15.92,111.4,477.6,21492.0,105072.0,456705000.0,840576000.0,2012-03
2012,3,March,Spring,Group 6,Pokhara,450000,15000,16.87,118.1,506.1,25305.0,151830.0,2846812500.0,2277450000.0,2012-03
2012,3,March,Spring,Group 6,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-03
2012,3,March,Spring,Group 6,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-03
2012,3,March,Spring,Group 6,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-03
2012,3,March,Spring,Group 6,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-03
2012,3,March,Spring,Group 6,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-03
2012,3,March,Spring,Group 6,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-03
2012,3,March,Spring,Group 7,Kathmandu,1500000,45000,14.73,103.1,441.9,24304.0,167922.0,9114000000.0,7556490000.0,2012-03
